mean,Date,year,month,day
83.83999999999996,2017-12-01,2017,12,1
80.57833333333333,2017-12-02,2017,12,2
76.28625000000001,2017-12-03,2017,12,3
72.4491666666667,2017-12-04,2017,12,4
77.44874999999999,2017-12-05,2017,12,5
78.34708333333334,2017-12-06,2017,12,6
81.15250000000002,2017-12-07,2017,12,7
81.57958333333335,2017-12-08,2017,12,8
85.32666666666664,2017-12-09,2017,12,9
85.63333333333328,2017-12-10,2017,12,10
91.1041666666667,2017-12-11,2017,12,11
85.20583333333335,2017-12-12,2017,12,12
89.1091666666667,2017-12-13,2017,12,13
83.61833333333335,2017-12-14,2017,12,14
77.22083333333333,2017-12-15,2017,12,15
81.88333333333333,2017-12-16,2017,12,16
77.15583333333333,2017-12-17,2017,12,17
91.49249999999999,2017-12-18,2017,12,18
89.66000000000001,2017-12-19,2017,12,19
101.45666666666665,2017-12-20,2017,12,20
106.92000000000003,2017-12-21,2017,12,21
114.0533333333333,2017-12-22,2017,12,22
116.22916666666663,2017-12-23,2017,12,23
121.53416666666665,2017-12-24,2017,12,24
126.28250000000001,2017-12-25,2017,12,25
139.34416666666667,2017-12-26,2017,12,26
144.5699999999999,2017-12-27,2017,12,27
142.92416666666662,2017-12-28,2017,12,28
145.49958333333328,2017-12-29,2017,12,29
162.96416666666676,2017-12-30,2017,12,30
150.8600000000001,2017-12-31,2017,12,31
121.03458333333337,2018-01-01,2018,1,1
136.31749999999997,2018-01-02,2018,1,2
135.04208333333335,2018-01-03,2018,1,3
144.26916666666662,2018-01-04,2018,1,4
136.4058333333334,2018-01-05,2018,1,5
136.3266666666667,2018-01-06,2018,1,6
133.05166666666665,2018-01-07,2018,1,7
132.0641666666667,2018-01-08,2018,1,8
134.23583333333332,2018-01-09,2018,1,9
134.31666666666672,2018-01-10,2018,1,10
134.68249999999995,2018-01-11,2018,1,11
133.4416666666667,2018-01-12,2018,1,12
131.55499999999998,2018-01-13,2018,1,13
129.27666666666676,2018-01-14,2018,1,14
114.52958333333335,2018-01-15,2018,1,15
125.97833333333334,2018-01-16,2018,1,16
120.93875000000001,2018-01-17,2018,1,17
121.46166666666666,2018-01-18,2018,1,18
122.10166666666665,2018-01-19,2018,1,19
116.54916666666664,2018-01-20,2018,1,20
94.12083333333334,2018-01-21,2018,1,21
118.13166666666672,2018-01-22,2018,1,22
115.38874999999996,2018-01-23,2018,1,23
113.09791666666668,2018-01-24,2018,1,24
114.19000000000005,2018-01-25,2018,1,25
112.67583333333339,2018-01-26,2018,1,26
120.26249999999997,2018-01-27,2018,1,27
115.50083333333333,2018-01-28,2018,1,28
120.73416666666664,2018-01-29,2018,1,29
119.19791666666669,2018-01-30,2018,1,30
121.9154166666667,2018-01-31,2018,1,31
138.67333333333332,2018-02-01,2018,2,1
134.0183333333334,2018-02-02,2018,2,2
148.9808333333334,2018-02-03,2018,2,3
146.01,2018-02-04,2018,2,4
147.30416666666667,2018-02-05,2018,2,5
130.64125,2018-02-06,2018,2,6
149.76916666666673,2018-02-07,2018,2,7
132.59416666666664,2018-02-08,2018,2,8
133.9720833333333,2018-02-09,2018,2,9
131.155,2018-02-10,2018,2,10
133.67916666666665,2018-02-11,2018,2,11
135.8283333333333,2018-02-12,2018,2,12
133.93333333333334,2018-02-13,2018,2,13
134.10125,2018-02-14,2018,2,14
137.2516666666667,2018-02-15,2018,2,15
138.3066666666667,2018-02-16,2018,2,16
131.91791666666674,2018-02-17,2018,2,17
127.2458333333333,2018-02-18,2018,2,18
136.67249999999999,2018-02-19,2018,2,19
141.09000000000003,2018-02-20,2018,2,20
158.3795833333334,2018-02-21,2018,2,21
146.9941666666667,2018-02-22,2018,2,22
143.6833333333334,2018-02-23,2018,2,23
139.3425,2018-02-24,2018,2,24
142.33374999999998,2018-02-25,2018,2,25
150.60499999999996,2018-02-26,2018,2,26
150.34250000000006,2018-02-27,2018,2,27
146.20583333333337,2018-02-28,2018,2,28
138.67583333333337,2018-03-01,2018,3,1
152.41249999999994,2018-03-02,2018,3,2
153.65666666666664,2018-03-03,2018,3,3
174.5729166666667,2018-03-04,2018,3,4
182.80499999999995,2018-03-05,2018,3,5
177.89333333333335,2018-03-06,2018,3,6
180.07333333333338,2018-03-07,2018,3,7
177.4041666666667,2018-03-08,2018,3,8
178.68916666666678,2018-03-09,2018,3,9
184.5249999999999,2018-03-10,2018,3,10
189.5383333333333,2018-03-11,2018,3,11
204.13083333333324,2018-03-12,2018,3,12
207.84249999999994,2018-03-13,2018,3,13
212.69416666666666,2018-03-14,2018,3,14
205.12291666666667,2018-03-15,2018,3,15
199.64125000000004,2018-03-16,2018,3,16
186.04500000000007,2018-03-17,2018,3,17
177.1966666666667,2018-03-18,2018,3,18
166.435,2018-03-19,2018,3,19
172.28083333333333,2018-03-20,2018,3,20
165.05333333333326,2018-03-21,2018,3,21
154.1466666666667,2018-03-22,2018,3,22
144.7241666666666,2018-03-23,2018,3,23
141.8308333333334,2018-03-24,2018,3,24
152.87166666666664,2018-03-25,2018,3,25
167.2216666666666,2018-03-26,2018,3,26
174.13,2018-03-27,2018,3,27
178.61625,2018-03-28,2018,3,28
167.05083333333343,2018-03-29,2018,3,29
115.50750000000001,2018-03-30,2018,3,30
153.33416666666668,2018-03-31,2018,3,31
117.94083333333337,2018-04-01,2018,4,1
153.96,2018-04-02,2018,4,2
149.7366666666667,2018-04-03,2018,4,3
138.79375000000002,2018-04-04,2018,4,4
130.02916666666667,2018-04-05,2018,4,5
111.57666666666664,2018-04-06,2018,4,6
119.66375000000001,2018-04-07,2018,4,7
101.72833333333331,2018-04-08,2018,4,8
108.21333333333338,2018-04-09,2018,4,9
113.08166666666665,2018-04-10,2018,4,10
137.97499999999997,2018-04-11,2018,4,11
113.73666666666668,2018-04-12,2018,4,12
120.85583333333335,2018-04-13,2018,4,13
116.615,2018-04-14,2018,4,14
102.40916666666668,2018-04-15,2018,4,15
121.55666666666663,2018-04-16,2018,4,16
123.04291666666661,2018-04-17,2018,4,17
131.3716666666667,2018-04-18,2018,4,18
127.01499999999993,2018-04-19,2018,4,19
116.15999999999997,2018-04-20,2018,4,20
78.23166666666667,2018-04-21,2018,4,21
84.27583333333334,2018-04-22,2018,4,22
121.91833333333335,2018-04-23,2018,4,23
134.71166666666662,2018-04-24,2018,4,24
127.78000000000004,2018-04-25,2018,4,25
110.4466666666667,2018-04-26,2018,4,26
102.92000000000003,2018-04-27,2018,4,27
88.84333333333335,2018-04-28,2018,4,28
70.71833333333333,2018-04-29,2018,4,29
94.7316666666667,2018-04-30,2018,4,30
77.58166666666669,2018-05-01,2018,5,1
82.80500000000005,2018-05-02,2018,5,2
78.22583333333331,2018-05-03,2018,5,3
70.83666666666669,2018-05-04,2018,5,4
80.08916666666663,2018-05-05,2018,5,5
76.86083333333336,2018-05-06,2018,5,6
86.97375000000001,2018-05-07,2018,5,7
109.93499999999999,2018-05-08,2018,5,8
76.20458333333337,2018-05-09,2018,5,9
74.6058333333333,2018-05-10,2018,5,10
71.18874999999998,2018-05-11,2018,5,11
66.62874999999998,2018-05-12,2018,5,12
66.85833333333335,2018-05-13,2018,5,13
66.9325,2018-05-14,2018,5,14
64.73958333333333,2018-05-15,2018,5,15
65.77749999999997,2018-05-16,2018,5,16
70.77499999999999,2018-05-17,2018,5,17
69.29875000000003,2018-05-18,2018,5,18
68.7154166666667,2018-05-19,2018,5,19
65.26208333333334,2018-05-20,2018,5,20
68.78833333333328,2018-05-21,2018,5,21
69.73791666666666,2018-05-22,2018,5,22
72.76249999999999,2018-05-23,2018,5,23
74.1566666666667,2018-05-24,2018,5,24
74.87166666666668,2018-05-25,2018,5,25
89.93249999999999,2018-05-26,2018,5,26
77.21666666666667,2018-05-27,2018,5,27
70.18666666666665,2018-05-28,2018,5,28
69.12291666666664,2018-05-29,2018,5,29
69.39083333333332,2018-05-30,2018,5,30
102.19583333333333,2018-05-31,2018,5,31
72.76249999999997,2018-06-01,2018,6,1
71.43249999999999,2018-06-02,2018,6,2
69.31083333333332,2018-06-03,2018,6,3
70.48875,2018-06-04,2018,6,4
71.93458333333331,2018-06-05,2018,6,5
65.87916666666663,2018-06-06,2018,6,6
69.75833333333328,2018-06-07,2018,6,7
75.17291666666664,2018-06-08,2018,6,8
76.47125000000004,2018-06-09,2018,6,9
75.63916666666667,2018-06-10,2018,6,10
69.20999999999997,2018-06-11,2018,6,11
69.94833333333331,2018-06-12,2018,6,12
69.5995833333333,2018-06-13,2018,6,13
69.76500000000003,2018-06-14,2018,6,14
77.49208333333335,2018-06-15,2018,6,15
72.04458333333332,2018-06-16,2018,6,16
68.59333333333335,2018-06-17,2018,6,17
69.83749999999999,2018-06-18,2018,6,18
70.34499999999998,2018-06-19,2018,6,19
70.40416666666667,2018-06-20,2018,6,20
70.49916666666664,2018-06-21,2018,6,21
72.03833333333337,2018-06-22,2018,6,22
72.50625000000002,2018-06-23,2018,6,23
72.13375000000002,2018-06-24,2018,6,24
102.7758333333333,2018-06-25,2018,6,25
89.6604166666667,2018-06-26,2018,6,26
78.59250000000004,2018-06-27,2018,6,27
89.52583333333335,2018-06-28,2018,6,28
71.35541666666668,2018-06-29,2018,6,29
72.83166666666665,2018-06-30,2018,6,30
72.42999999999999,2018-07-01,2018,7,1
68.64791666666663,2018-07-02,2018,7,2
67.55208333333336,2018-07-03,2018,7,3
76.66166666666665,2018-07-04,2018,7,4
69.00166666666668,2018-07-05,2018,7,5
71.24250000000002,2018-07-06,2018,7,6
70.82333333333332,2018-07-07,2018,7,7
72.14833333333333,2018-07-08,2018,7,8
101.45583333333333,2018-07-09,2018,7,9
101.66416666666669,2018-07-10,2018,7,10
88.79333333333334,2018-07-11,2018,7,11
71.99541666666669,2018-07-12,2018,7,12
95.59083333333335,2018-07-13,2018,7,13
68.01291666666665,2018-07-14,2018,7,14
72.35625,2018-07-15,2018,7,15
71.50958333333332,2018-07-16,2018,7,16
76.4029166666667,2018-07-17,2018,7,17
88.81333333333329,2018-07-18,2018,7,18
108.64791666666669,2018-07-19,2018,7,19
74.38333333333331,2018-07-20,2018,7,20
76.89083333333336,2018-07-21,2018,7,21
70.66125,2018-07-22,2018,7,22
104.97708333333337,2018-07-23,2018,7,23
73.71666666666668,2018-07-24,2018,7,24
101.45083333333336,2018-07-25,2018,7,25
72.76666666666667,2018-07-26,2018,7,26
86.68625000000002,2018-07-27,2018,7,27
72.54041666666664,2018-07-28,2018,7,28
77.54166666666669,2018-07-29,2018,7,29
79.98833333333329,2018-07-30,2018,7,30
71.21416666666666,2018-07-31,2018,7,31
91.35541666666667,2018-08-01,2018,8,1
109.86874999999998,2018-08-02,2018,8,2
84.63750000000003,2018-08-03,2018,8,3
78.04958333333335,2018-08-04,2018,8,4
73.28541666666665,2018-08-05,2018,8,5
