Value,Date,year,month,day
563.34,2017-12-01,2017,12,1
563.34,2017-12-02,2017,12,2
563.34,2017-12-03,2017,12,3
563.34,2017-12-04,2017,12,4
563.34,2017-12-05,2017,12,5
563.34,2017-12-06,2017,12,6
563.34,2017-12-07,2017,12,7
563.34,2017-12-08,2017,12,8
563.34,2017-12-09,2017,12,9
563.34,2017-12-10,2017,12,10
563.34,2017-12-11,2017,12,11
563.34,2017-12-12,2017,12,12
563.34,2017-12-13,2017,12,13
563.34,2017-12-14,2017,12,14
563.34,2017-12-15,2017,12,15
563.34,2017-12-16,2017,12,16
563.34,2017-12-17,2017,12,17
563.34,2017-12-18,2017,12,18
563.34,2017-12-19,2017,12,19
563.34,2017-12-20,2017,12,20
563.34,2017-12-21,2017,12,21
563.34,2017-12-22,2017,12,22
563.34,2017-12-23,2017,12,23
563.34,2017-12-24,2017,12,24
563.34,2017-12-25,2017,12,25
563.34,2017-12-26,2017,12,26
563.34,2017-12-27,2017,12,27
563.34,2017-12-28,2017,12,28
563.34,2017-12-29,2017,12,29
563.34,2017-12-30,2017,12,30
563.34,2017-12-31,2017,12,31
563.56,2018-01-01,2018,1,1
563.56,2018-01-02,2018,1,2
563.56,2018-01-03,2018,1,3
563.56,2018-01-04,2018,1,4
563.56,2018-01-05,2018,1,5
563.56,2018-01-06,2018,1,6
563.56,2018-01-07,2018,1,7
563.56,2018-01-08,2018,1,8
563.56,2018-01-09,2018,1,9
563.56,2018-01-10,2018,1,10
563.56,2018-01-11,2018,1,11
563.56,2018-01-12,2018,1,12
563.56,2018-01-13,2018,1,13
563.56,2018-01-14,2018,1,14
563.56,2018-01-15,2018,1,15
563.56,2018-01-16,2018,1,16
563.56,2018-01-17,2018,1,17
563.56,2018-01-18,2018,1,18
563.56,2018-01-19,2018,1,19
563.56,2018-01-20,2018,1,20
563.56,2018-01-21,2018,1,21
563.56,2018-01-22,2018,1,22
563.56,2018-01-23,2018,1,23
563.56,2018-01-24,2018,1,24
563.56,2018-01-25,2018,1,25
563.56,2018-01-26,2018,1,26
563.56,2018-01-27,2018,1,27
563.56,2018-01-28,2018,1,28
563.56,2018-01-29,2018,1,29
563.56,2018-01-30,2018,1,30
563.56,2018-01-31,2018,1,31
564.87,2018-02-01,2018,2,1
564.87,2018-02-02,2018,2,2
564.87,2018-02-03,2018,2,3
564.87,2018-02-04,2018,2,4
564.87,2018-02-05,2018,2,5
564.87,2018-02-06,2018,2,6
564.87,2018-02-07,2018,2,7
564.87,2018-02-08,2018,2,8
564.87,2018-02-09,2018,2,9
564.87,2018-02-10,2018,2,10
564.87,2018-02-11,2018,2,11
564.87,2018-02-12,2018,2,12
564.87,2018-02-13,2018,2,13
564.87,2018-02-14,2018,2,14
564.87,2018-02-15,2018,2,15
564.87,2018-02-16,2018,2,16
564.87,2018-02-17,2018,2,17
564.87,2018-02-18,2018,2,18
564.87,2018-02-19,2018,2,19
564.87,2018-02-20,2018,2,20
564.87,2018-02-21,2018,2,21
564.87,2018-02-22,2018,2,22
564.87,2018-02-23,2018,2,23
564.87,2018-02-24,2018,2,24
564.87,2018-02-25,2018,2,25
564.87,2018-02-26,2018,2,26
564.87,2018-02-27,2018,2,27
564.87,2018-02-28,2018,2,28
593.21,2018-03-01,2018,3,1
593.21,2018-03-02,2018,3,2
593.21,2018-03-03,2018,3,3
593.21,2018-03-04,2018,3,4
593.21,2018-03-05,2018,3,5
593.21,2018-03-06,2018,3,6
593.21,2018-03-07,2018,3,7
593.21,2018-03-08,2018,3,8
593.21,2018-03-09,2018,3,9
593.21,2018-03-10,2018,3,10
593.21,2018-03-11,2018,3,11
593.21,2018-03-12,2018,3,12
593.21,2018-03-13,2018,3,13
593.21,2018-03-14,2018,3,14
593.21,2018-03-15,2018,3,15
593.21,2018-03-16,2018,3,16
593.21,2018-03-17,2018,3,17
593.21,2018-03-18,2018,3,18
593.21,2018-03-19,2018,3,19
593.21,2018-03-20,2018,3,20
593.21,2018-03-21,2018,3,21
593.21,2018-03-22,2018,3,22
593.21,2018-03-23,2018,3,23
593.21,2018-03-24,2018,3,24
593.21,2018-03-25,2018,3,25
593.21,2018-03-26,2018,3,26
593.21,2018-03-27,2018,3,27
593.21,2018-03-28,2018,3,28
593.21,2018-03-29,2018,3,29
593.21,2018-03-30,2018,3,30
593.21,2018-03-31,2018,3,31
579.84,2018-04-01,2018,4,1
579.84,2018-04-02,2018,4,2
579.84,2018-04-03,2018,4,3
579.84,2018-04-04,2018,4,4
579.84,2018-04-05,2018,4,5
579.84,2018-04-06,2018,4,6
579.84,2018-04-07,2018,4,7
579.84,2018-04-08,2018,4,8
579.84,2018-04-09,2018,4,9
579.84,2018-04-10,2018,4,10
579.84,2018-04-11,2018,4,11
579.84,2018-04-12,2018,4,12
579.84,2018-04-13,2018,4,13
579.84,2018-04-14,2018,4,14
579.84,2018-04-15,2018,4,15
579.84,2018-04-16,2018,4,16
579.84,2018-04-17,2018,4,17
579.84,2018-04-18,2018,4,18
579.84,2018-04-19,2018,4,19
579.84,2018-04-20,2018,4,20
579.84,2018-04-21,2018,4,21
579.84,2018-04-22,2018,4,22
579.84,2018-04-23,2018,4,23
579.84,2018-04-24,2018,4,24
579.84,2018-04-25,2018,4,25
579.84,2018-04-26,2018,4,26
579.84,2018-04-27,2018,4,27
579.84,2018-04-28,2018,4,28
579.84,2018-04-29,2018,4,29
579.84,2018-04-30,2018,4,30
584.81,2018-05-01,2018,5,1
584.81,2018-05-02,2018,5,2
584.81,2018-05-03,2018,5,3
584.81,2018-05-04,2018,5,4
584.81,2018-05-05,2018,5,5
584.81,2018-05-06,2018,5,6
584.81,2018-05-07,2018,5,7
584.81,2018-05-08,2018,5,8
584.81,2018-05-09,2018,5,9
584.81,2018-05-10,2018,5,10
584.81,2018-05-11,2018,5,11
584.81,2018-05-12,2018,5,12
584.81,2018-05-13,2018,5,13
584.81,2018-05-14,2018,5,14
584.81,2018-05-15,2018,5,15
584.81,2018-05-16,2018,5,16
584.81,2018-05-17,2018,5,17
584.81,2018-05-18,2018,5,18
