Date,Value,year,month,day
2017-12-01,413.0543749999998,2017,12,1
2017-12-02,413.1481249999998,2017,12,2
2017-12-03,412.73,2017,12,3
2017-12-04,412.73,2017,12,4
2017-12-05,412.709375,2017,12,5
2017-12-06,411.22125,2017,12,6
2017-12-07,410.808125,2017,12,7
2017-12-08,410.809375,2017,12,8
2017-12-09,411.015625,2017,12,9
2017-12-10,411.360625,2017,12,10
2017-12-11,411.35375,2017,12,11
2017-12-12,411.049375,2017,12,12
2017-12-13,410.56812500000007,2017,12,13
2017-12-14,410.5687500000001,2017,12,14
2017-12-15,410.556875,2017,12,15
2017-12-16,410.560625,2017,12,16
2017-12-17,410.20125,2017,12,17
2017-12-18,410.836875,2017,12,18
2017-12-19,410.0062499999999,2017,12,19
2017-12-20,410.014375,2017,12,20
2017-12-21,411.6025,2017,12,21
2017-12-22,411.6625,2017,12,22
2017-12-23,411.70875,2017,12,23
2017-12-24,411.920625,2017,12,24
2017-12-25,411.915,2017,12,25
2017-12-26,411.9162500000001,2017,12,26
2017-12-27,408.7775,2017,12,27
2017-12-28,408.779375,2017,12,28
2017-12-29,409.6125,2017,12,29
2017-12-30,409.634375,2017,12,30
2017-12-31,410.2375,2017,12,31
2018-01-01,433.096875,2018,1,1
2018-01-02,433.088125,2018,1,2
2018-01-03,432.080625,2018,1,3
2018-01-04,435.468125,2018,1,4
2018-01-05,435.4450000000001,2018,1,5
2018-01-06,435.455,2018,1,6
2018-01-07,434.0212499999999,2018,1,7
2018-01-08,434.1806249999999,2018,1,8
2018-01-09,433.66375,2018,1,9
2018-01-10,433.2881249999999,2018,1,10
2018-01-11,433.299375,2018,1,11
2018-01-12,433.24437499999993,2018,1,12
2018-01-13,433.230625,2018,1,13
2018-01-14,434.24875,2018,1,14
2018-01-15,411.1368749999999,2018,1,15
2018-01-16,411.130625,2018,1,16
2018-01-17,411.1331249999999,2018,1,17
2018-01-18,411.125,2018,1,18
2018-01-19,411.2725,2018,1,19
2018-01-20,411.2693749999999,2018,1,20
2018-01-21,405.276875,2018,1,21
2018-01-22,410.26625,2018,1,22
2018-01-23,411.0262499999999,2018,1,23
2018-01-24,410.9887499999999,2018,1,24
2018-01-25,410.9781249999999,2018,1,25
2018-01-26,410.935,2018,1,26
2018-01-27,410.93375,2018,1,27
2018-01-28,408.421875,2018,1,28
2018-01-29,408.74,2018,1,29
2018-01-30,408.6312499999999,2018,1,30
2018-01-31,408.6593749999999,2018,1,31
2018-02-01,407.465,2018,2,1
2018-02-02,408.191875,2018,2,2
2018-02-03,407.821875,2018,2,3
2018-02-04,408.2418750000001,2018,2,4
2018-02-05,408.0225000000001,2018,2,5
2018-02-06,405.0181250000001,2018,2,6
2018-02-07,407.9206250000001,2018,2,7
2018-02-08,410.5825000000001,2018,2,8
2018-02-09,409.8025000000001,2018,2,9
2018-02-10,410.5575,2018,2,10
2018-02-11,411.1818750000001,2018,2,11
2018-02-12,409.1193750000001,2018,2,12
2018-02-13,410.43812500000007,2018,2,13
2018-02-14,407.2875000000001,2018,2,14
2018-02-15,416.7106250000001,2018,2,15
2018-02-16,427.8356250000001,2018,2,16
2018-02-17,433.18125000000015,2018,2,17
2018-02-18,417.3250000000001,2018,2,18
2018-02-19,432.0293750000001,2018,2,19
2018-02-20,431.6925000000001,2018,2,20
2018-02-21,452.313125,2018,2,21
2018-02-22,453.96,2018,2,22
2018-02-23,452.60625,2018,2,23
2018-02-24,453.523125,2018,2,24
2018-02-25,474.650625,2018,2,25
2018-02-26,474.2425,2018,2,26
2018-02-27,471.334375,2018,2,27
2018-02-28,471.33375,2018,2,28
2018-03-01,473.87499999999983,2018,3,1
2018-03-02,472.415,2018,3,2
2018-03-03,475.2825000000001,2018,3,3
2018-03-04,471.673125,2018,3,4
2018-03-05,469.5756249999999,2018,3,5
2018-03-06,462.10624999999993,2018,3,6
2018-03-07,460.15375,2018,3,7
2018-03-08,459.085625,2018,3,8
2018-03-09,460.42437500000005,2018,3,9
2018-03-10,461.8025,2018,3,10
2018-03-11,448.735,2018,3,11
2018-03-12,446.6231250000001,2018,3,12
2018-03-13,446.141875,2018,3,13
2018-03-14,446.145,2018,3,14
2018-03-15,446.136875,2018,3,15
2018-03-16,446.3625,2018,3,16
2018-03-17,447.67875,2018,3,17
2018-03-18,448.504375,2018,3,18
2018-03-19,448.48625,2018,3,19
2018-03-20,448.52375000000006,2018,3,20
2018-03-21,445.38812500000006,2018,3,21
2018-03-22,445.03937500000006,2018,3,22
2018-03-23,446.326875,2018,3,23
2018-03-24,447.88,2018,3,24
2018-03-25,450.80250000000007,2018,3,25
2018-03-26,450.69312500000007,2018,3,26
2018-03-27,451.59,2018,3,27
2018-03-28,451.054375,2018,3,28
2018-03-29,452.520625,2018,3,29
2018-03-30,453.46125,2018,3,30
2018-03-31,454.1000000000001,2018,3,31
2018-04-01,453.026875,2018,4,1
2018-04-02,454.0012499999999,2018,4,2
2018-04-03,454.704375,2018,4,3
2018-04-04,454.320625,2018,4,4
2018-04-05,452.835625,2018,4,5
2018-04-06,452.833125,2018,4,6
2018-04-07,452.8175,2018,4,7
2018-04-08,449.8837499999999,2018,4,8
2018-04-09,449.8718749999999,2018,4,9
2018-04-10,450.1662499999999,2018,4,10
2018-04-11,450.1662499999999,2018,4,11
2018-04-12,450.1524999999999,2018,4,12
2018-04-13,450.1393749999999,2018,4,13
2018-04-14,450.15562499999993,2018,4,14
2018-04-15,448.6237499999999,2018,4,15
2018-04-16,449.845,2018,4,16
2018-04-17,446.82625,2018,4,17
2018-04-18,446.8299999999999,2018,4,18
2018-04-19,446.84625,2018,4,19
2018-04-20,445.668125,2018,4,20
2018-04-21,446.211875,2018,4,21
2018-04-22,449.235,2018,4,22
2018-04-23,458.6137499999999,2018,4,23
2018-04-24,456.7724999999999,2018,4,24
2018-04-25,460.5999999999999,2018,4,25
2018-04-26,462.345625,2018,4,26
2018-04-27,462.406875,2018,4,27
2018-04-28,463.2049999999999,2018,4,28
2018-04-29,466.8968749999999,2018,4,29
2018-04-30,471.110625,2018,4,30
2018-05-01,462.7025,2018,5,1
2018-05-02,462.638125,2018,5,2
2018-05-03,463.846875,2018,5,3
2018-05-04,461.5793749999999,2018,5,4
2018-05-05,455.086875,2018,5,5
2018-05-06,451.1687500000001,2018,5,6
2018-05-07,450.72375,2018,5,7
2018-05-08,450.7375,2018,5,8
2018-05-09,450.74437499999993,2018,5,9
2018-05-10,450.7231249999999,2018,5,10
2018-05-11,451.63999999999993,2018,5,11
2018-05-12,451.639375,2018,5,12
2018-05-13,450.2049999999999,2018,5,13
2018-05-14,450.188125,2018,5,14
2018-05-15,450.1849999999999,2018,5,15
2018-05-16,450.1787499999999,2018,5,16
2018-05-17,450.176875,2018,5,17
2018-05-18,450.1737499999999,2018,5,18
2018-05-19,451.1887499999999,2018,5,19
2018-05-20,454.0587499999999,2018,5,20
2018-05-21,432.971875,2018,5,21
2018-05-22,434.3124999999999,2018,5,22
2018-05-23,433.08,2018,5,23
2018-05-24,431.98124999999993,2018,5,24
2018-05-25,431.9568749999999,2018,5,25
2018-05-26,432.2918749999999,2018,5,26
2018-05-27,432.584375,2018,5,27
2018-05-28,432.61187500000005,2018,5,28
2018-05-29,430.79687500000006,2018,5,29
2018-05-30,430.79687500000006,2018,5,30
2018-05-31,430.79687500000006,2018,5,31
2018-06-01,433.18125,2018,6,1
2018-06-02,432.684375,2018,6,2
2018-06-03,440.0112500000001,2018,6,3
2018-06-04,439.661875,2018,6,4
2018-06-05,440.555625,2018,6,5
2018-06-06,440.553125,2018,6,6
2018-06-07,444.855,2018,6,7
2018-06-08,444.85125,2018,6,8
2018-06-09,445.3268750000001,2018,6,9
2018-06-10,442.2075,2018,6,10
2018-06-11,441.990625,2018,6,11
2018-06-12,440.39125000000007,2018,6,12
2018-06-13,440.39625,2018,6,13
2018-06-14,440.396875,2018,6,14
2018-06-15,440.408125,2018,6,15
2018-06-16,436.94,2018,6,16
2018-06-17,436.486875,2018,6,17
2018-06-18,436.470625,2018,6,18
2018-06-19,436.480625,2018,6,19
2018-06-20,436.7012499999999,2018,6,20
2018-06-21,440.6925,2018,6,21
2018-06-22,441.846875,2018,6,22
2018-06-23,443.78,2018,6,23
2018-06-24,453.7681250000001,2018,6,24
2018-06-25,448.895625,2018,6,25
2018-06-26,449.70312500000006,2018,6,26
2018-06-27,453.32875000000007,2018,6,27
2018-06-28,453.790625,2018,6,28
2018-06-29,460.9131250000001,2018,6,29
2018-06-30,461.8968750000001,2018,6,30
2018-07-01,461.280625,2018,7,1
2018-07-02,461.6462500000001,2018,7,2
2018-07-03,460.01000000000016,2018,7,3
2018-07-04,456.3637500000001,2018,7,4
2018-07-05,456.78937500000006,2018,7,5
2018-07-06,452.166875,2018,7,6
2018-07-07,455.36187500000005,2018,7,7
2018-07-08,462.85000000000014,2018,7,8
2018-07-09,470.2806250000001,2018,7,9
2018-07-10,469.93875000000014,2018,7,10
2018-07-11,471.3543750000001,2018,7,11
2018-07-12,470.7743750000001,2018,7,12
2018-07-13,473.97375,2018,7,13
2018-07-14,472.853125,2018,7,14
2018-07-15,485.2693749999999,2018,7,15
2018-07-16,483.108125,2018,7,16
2018-07-17,483.03375,2018,7,17
2018-07-18,481.13,2018,7,18
2018-07-19,480.93000000000006,2018,7,19
2018-07-20,471.171875,2018,7,20
2018-07-21,478.78625,2018,7,21
2018-07-22,480.00812500000006,2018,7,22
2018-07-23,480.39625000000007,2018,7,23
